Child Unique ID,Gender,Ethnicity,Date of Birth,Age,Date of Contact,Contact Source,Unaccompanied Asylum Seeking Child (UASC) within the Last 12 Months (Y/N)),LA of Placement,Allocated Team
9212044,Female,a) WBRI,2015-01-25 00:00:00,6.138261464750171,2020-09-16 00:00:00,q) 6: Police,b) No,Home Town,Children in Care Team 1
6537810,John,a) WBRI,2015-01-25 00:00:00,olive,not a date,else,b) No,Home Town,Children in Care Team 1
11918108,a) Male,a) WBRI,2009-10-22 00:00:00,11.397672826830938,2020-09-16 00:00:00,n) 5A: LA services,b) No,Other Town 1,Children in Care Team 1
11834085,a) Male,a) WBRI,not a date,1.2046543463381245,2020-09-16 00:00:00,r) 7: Other legal agency,b) No,Home Town,Children in Care Team 2
6316152,b) Female,identity,2012-01-19 00:00:00,9.155373032169747,2020-09-16 00:00:00,r) 7: Other legal agency,b) No,Home Town,Children in Care Team 3
11973218,b) Female,k) APKN,,8.88432580424367,2020-09-16 00:00:00,q) 6: Police,b) No,Home Town,Children in Care Team 2
10991894,a) Male,a) WBRI,2011-09-02 00:00:00,9.535934291581109,not a date,e) 2A: Schools,b) No,Home Town,Children in Care Team 3
9385645,a) Male,a) WBRI,2006-09-17 00:00:00,14.494182067077345,2020-09-16 00:00:00,q) 6: Police,b) No,Home Town,Children in Care Team 2
11436396,b) Female,a) WBRI,2020-03-06 00:00:00,1.0266940451745379,2020-09-16 00:00:00,other,b) No,Home Town,Children in Care Team 2
,a) Male,a) WBRI,2020-03-19 00:00:00,0.9911019849418207,2020-09-16 00:00:00,q) 6: Police,b) No,Home Town,Children in Care Team 3
290984,,k) APKN,2009-05-27 00:00:00,11.80287474332649,,q) 6: Police,b) No,Home Town,Children in Care Team 4
12982335,b) Female,k) APKN,2015-11-23 00:00:00,5.3114305270362765,2020-09-16 00:00:00,o) 5B: LA services,b) No,#N/A,Children in Care Team 2
7799466,a) Male,a) WBRI,2002-08-20 00:00:00,18.570841889117045,2020-09-16 00:00:00,*Check data quality,b) No,Home Town,Children in Care Team 1
2565952,b) Female,a) WBRI,2014-01-21 00:00:00,7.148528405201916,2020-09-16 00:00:00,s) 8: Other,b) No,Home Town,Children in Care Team 2
12648894,b) Female,a) WBRI,2005-03-09 00:00:00,16.019164955509925,2020-09-16 00:00:00,,b) No,Other Town 2,Children in Care Team 4
9551722,a) Male,,2016-08-04 00:00:00,4.61327857631759,2020-09-16 00:00:00,j) 3D: Health services,b) No,Home Town,Children in Care Team 2
4640972,b) Female,a) WBRI,2012-09-17 00:00:00,8.492813141683778,2020-09-16 00:00:00,j) 3D: Health services,b) No,Home Town,Children in Care Team 2
4653765,a) Male,a) WBRI,2009-08-14 00:00:00,11.586584531143053,2020-09-16 00:00:00,k) 3E: Health services,b) No,Other Town 3,Children with Disabilities Team
6217392,a) Male,s) NOBT,2009-08-02 00:00:00,11.619438740588638,2020-09-16 00:00:00,b) 1B: Individual,b) No,Home Town,Children in Care Team 2
16248829,a) Male,s) NOBT,2006-05-17 00:00:00,14.830937713894592,2020-09-16 00:00:00,q) 6: Police,b) No,Home Town,Children in Care Team 3
13981739,b) Female,a) WBRI,2005-04-17 00:00:00,15.912388774811772,2020-09-16 00:00:00,t) 9: Anonymous,b) No,Home Town,Children in Care Team 4
997679,a) Male,a) WBRI,2020-05-10 00:00:00,0.8487337440109514,2020-09-16 00:00:00,q) 6: Police,b) No,Home Town,Children in Care Team 2
14007367,b) Female,a) WBRI,2008-10-12 00:00:00,12.424366872005475,2020-09-16 00:00:00,q) 6: Police,b) No,#N/A,Children in Care Team 3
6525002,a) Male,k) APKN,2018-11-28 00:00:00,2.297056810403833,2020-09-16 00:00:00,q) 6: Police,b) No,Home Town,Children in Care Team 3
10897459,b) Female,s) NOBT,2009-10-30 00:00:00,11.375770020533881,2020-09-16 00:00:00,*Check data quality,b) No,Other Town 4,Children in Care Team 4
6765349,b) Female,a) WBRI,2014-09-06 00:00:00,6.524298425735798,2020-09-16 00:00:00,q) 6: Police,b) No,Other Town 4,Children in Care Team 3
6263068,b) Female,a) WBRI,2017-09-08 00:00:00,3.5181382614647503,2020-09-16 00:00:00,n) 5A: LA services,b) No,Other Town 2,Children in Care Team 3
11096583,a) Male,r) OOTH,2018-05-13 00:00:00,2.841889117043121,2020-09-16 00:00:00,a) 1A: Individual,b) No,Home Town,Children in Care Team 1
10658976,a) Male,a) WBRI,2012-04-12 00:00:00,8.92539356605065,2020-09-16 00:00:00,q) 6: Police,b) No,Home Town,Children in Care Team 3
14865773,a) Male,a) WBRI,2006-05-05 00:00:00,14.863791923340179,2020-09-16 00:00:00,t) 9: Anonymous,b) No,#N/A,Children in Care Team 4
11239793,a) Male,s) NOBT,2006-03-31 00:00:00,14.959616700889802,2020-09-16 00:00:00,q) 6: Police,b) No,Home Town,Children in Care Team 3
